物件番号,築年数,最寄駅距離,単位面積価格
1,32,84.87882,37.9
2,19.5,306.5947,42.2
3,13.3,561.9845,47.3
4,13.3,561.9845,54.8
5,5,390.5684,43.1
6,7.1,2175.03,32.1
7,34.5,623.4731,40.3
8,20.3,287.6025,46.7
9,31.7,5512.038,18.8
10,17.9,1783.18,22.1
11,34.8,405.2134,41.4
12,6.3,90.45606,58.1
13,13,492.2313,39.3
14,20.4,2469.645,23.8
15,13.2,1164.838,34.3
16,35.7,579.2083,50.5
17,0,292.9978,70.1
18,17.7,350.8515,37.4
19,16.9,368.1363,42.3
20,1.5,23.38284,47.7
21,4.5,2275.877,29.3
22,10.5,279.1726,51.6
23,14.7,1360.139,24.6
24,10.1,279.1726,47.9
25,39.6,480.6977,38.8
26,29.3,1487.868,27
27,3.1,383.8624,56.2
28,10.4,276.449,33.6
29,19.2,557.478,47
30,7.1,451.2438,57.1
31,25.9,4519.69,22.1
32,29.6,769.4034,25
33,37.9,488.5727,34.2
34,16.5,323.655,49.3
35,15.4,205.367,55.1
36,13.9,4079.418,27.3
37,14.7,1935.009,22.9
38,12,1360.139,25.3
39,3.1,577.9615,47.7
40,16.2,289.3248,46.2
41,13.6,4082.015,15.9
42,16.8,4066.587,18.2
43,36.1,519.4617,34.7
44,34.4,512.7871,34.1
45,2.7,533.4762,53.9
46,36.6,488.8193,38.3
47,21.7,463.9623,42
48,35.9,640.7391,61.5
49,24.2,4605.749,13.4
50,29.4,4510.359,13.2
51,21.7,512.5487,44.2
52,31.3,1758.406,20.7
53,32.1,1438.579,27
54,13.3,492.2313,38.9
55,16.1,289.3248,51.7
56,31.7,1160.632,13.7
57,33.6,371.2495,41.9
58,3.5,56.47425,53.5
59,30.3,4510.359,22.6
60,13.3,336.0532,42.4
61,11,1931.207,21.3
62,5.3,259.6607,63.2
63,17.2,2175.877,27.7
64,2.6,533.4762,55
65,17.5,995.7554,25.3
66,40.1,123.7429,44.3
67,1,193.5845,50.7
68,8.5,104.8101,56.8
69,30.4,464.223,36.2
70,12.5,561.9845,42
71,6.6,90.45606,59
72,35.5,640.7391,40.8
73,32.5,424.5442,36.3
74,13.8,4082.015,20
75,6.8,379.5575,54.4
76,12.3,1360.139,29.5
77,35.9,616.4004,36.8
78,20.5,2185.128,25.6
79,38.2,552.4371,29.8
80,18,1414.837,26.5
81,11.8,533.4762,40.3
82,30.8,377.7956,36.8
83,13.2,150.9347,48.1
84,25.3,2707.392,17.7
85,15.1,383.2805,43.7
86,0,338.9679,50.8
87,1.8,1455.798,27
88,16.9,4066.587,18.3
89,8.9,1406.43,48
90,23,3947.945,25.3
91,0,274.0144,45.4
92,9.1,1402.016,43.2
93,20.6,2469.645,21.8
94,31.9,1146.329,16.1
95,40.9,167.5989,41
96,8,104.8101,51.8
97,6.4,90.45606,59.5
98,28.4,617.4424,34.6
99,16.4,289.3248,51
100,6.4,90.45606,62.2
101,17.5,964.7496,38.2
102,12.7,170.1289,32.9
103,1.1,193.5845,54.4
104,0,208.3905,45.7
105,32.7,392.4459,30.5
106,0,292.9978,71
